2254-1985 CustomWeightedEdge{sourceUserId=2254, targeUserId=1985, type=AP, peso=241.0}
2193-2194 CustomWeightedEdge{sourceUserId=2193, targeUserId=2194, type=AA, peso=59.0}
2172-2160 CustomWeightedEdge{sourceUserId=2172, targeUserId=2160, type=AA, peso=44.0}
1982-2192 CustomWeightedEdge{sourceUserId=1982, targeUserId=2192, type=PA, peso=139.0}
2233-1951 CustomWeightedEdge{sourceUserId=2233, targeUserId=1951, type=AP, peso=468.0}
2209-2202 CustomWeightedEdge{sourceUserId=2209, targeUserId=2202, type=AA, peso=34.0}
2214-2220 CustomWeightedEdge{sourceUserId=2214, targeUserId=2220, type=AA, peso=55.0}
2162-2182 CustomWeightedEdge{sourceUserId=2162, targeUserId=2182, type=AA, peso=199.0}
2188-1993 CustomWeightedEdge{sourceUserId=2188, targeUserId=1993, type=AP, peso=31.0}
2214-2219 CustomWeightedEdge{sourceUserId=2214, targeUserId=2219, type=AA, peso=27.0}
2214-2218 CustomWeightedEdge{sourceUserId=2214, targeUserId=2218, type=AA, peso=35.0}
2136-1980 CustomWeightedEdge{sourceUserId=2136, targeUserId=1980, type=AP, peso=827.0}
2214-2217 CustomWeightedEdge{sourceUserId=2214, targeUserId=2217, type=AA, peso=15.0}
2252-2254 CustomWeightedEdge{sourceUserId=2252, targeUserId=2254, type=AA, peso=66.0}
2237-2265 CustomWeightedEdge{sourceUserId=2237, targeUserId=2265, type=AA, peso=86.0}
2216-1940 CustomWeightedEdge{sourceUserId=2216, targeUserId=1940, type=AP, peso=111.0}
2158-1940 CustomWeightedEdge{sourceUserId=2158, targeUserId=1940, type=AP, peso=488.0}
2247-2250 CustomWeightedEdge{sourceUserId=2247, targeUserId=2250, type=AA, peso=336.0}
2157-2180 CustomWeightedEdge{sourceUserId=2157, targeUserId=2180, type=AA, peso=151.0}
2224-2207 CustomWeightedEdge{sourceUserId=2224, targeUserId=2207, type=AA, peso=28.0}
2169-2169 CustomWeightedEdge{sourceUserId=2169, targeUserId=2169, type=AA, peso=141.0}
1940-1951 CustomWeightedEdge{sourceUserId=1940, targeUserId=1951, type=PP, peso=309.0}
2141-1981 CustomWeightedEdge{sourceUserId=2141, targeUserId=1981, type=AP, peso=50.0}
2169-2160 CustomWeightedEdge{sourceUserId=2169, targeUserId=2160, type=AA, peso=31.0}
2165-2149 CustomWeightedEdge{sourceUserId=2165, targeUserId=2149, type=AA, peso=65.0}
2169-2163 CustomWeightedEdge{sourceUserId=2169, targeUserId=2163, type=AA, peso=92.0}
2141-1980 CustomWeightedEdge{sourceUserId=2141, targeUserId=1980, type=AP, peso=25.0}
2130-1940 CustomWeightedEdge{sourceUserId=2130, targeUserId=1940, type=AP, peso=279.0}
2209-2212 CustomWeightedEdge{sourceUserId=2209, targeUserId=2212, type=AA, peso=152.0}
2159-2178 CustomWeightedEdge{sourceUserId=2159, targeUserId=2178, type=AA, peso=32.0}
2214-2211 CustomWeightedEdge{sourceUserId=2214, targeUserId=2211, type=AA, peso=33.0}
2172-2174 CustomWeightedEdge{sourceUserId=2172, targeUserId=2174, type=AA, peso=42.0}
2209-2214 CustomWeightedEdge{sourceUserId=2209, targeUserId=2214, type=AA, peso=30.0}
2249-2248 CustomWeightedEdge{sourceUserId=2249, targeUserId=2248, type=AA, peso=60.0}
1983-1940 CustomWeightedEdge{sourceUserId=1983, targeUserId=1940, type=PP, peso=130.0}
2218-1982 CustomWeightedEdge{sourceUserId=2218, targeUserId=1982, type=AP, peso=35.0}
2143-1981 CustomWeightedEdge{sourceUserId=2143, targeUserId=1981, type=AP, peso=31.0}
2220-2194 CustomWeightedEdge{sourceUserId=2220, targeUserId=2194, type=AA, peso=188.0}
2218-1983 CustomWeightedEdge{sourceUserId=2218, targeUserId=1983, type=AP, peso=82.0}
2196-1940 CustomWeightedEdge{sourceUserId=2196, targeUserId=1940, type=AP, peso=80.0}
2151-1940 CustomWeightedEdge{sourceUserId=2151, targeUserId=1940, type=AP, peso=1097.0}
2134-2151 CustomWeightedEdge{sourceUserId=2134, targeUserId=2151, type=AA, peso=144.0}
2250-2227 CustomWeightedEdge{sourceUserId=2250, targeUserId=2227, type=AA, peso=85.0}
2224-2218 CustomWeightedEdge{sourceUserId=2224, targeUserId=2218, type=AA, peso=28.0}
2173-1940 CustomWeightedEdge{sourceUserId=2173, targeUserId=1940, type=AP, peso=146.0}
2197-2202 CustomWeightedEdge{sourceUserId=2197, targeUserId=2202, type=AA, peso=36.0}
2169-2133 CustomWeightedEdge{sourceUserId=2169, targeUserId=2133, type=AA, peso=79.0}
1940-1940 CustomWeightedEdge{sourceUserId=1940, targeUserId=1940, type=PP, peso=764.0}
2162-2178 CustomWeightedEdge{sourceUserId=2162, targeUserId=2178, type=AA, peso=30.0}
2159-2169 CustomWeightedEdge{sourceUserId=2159, targeUserId=2169, type=AA, peso=79.0}
2188-1981 CustomWeightedEdge{sourceUserId=2188, targeUserId=1981, type=AP, peso=485.0}
2143-1980 CustomWeightedEdge{sourceUserId=2143, targeUserId=1980, type=AP, peso=185.0}
2159-2166 CustomWeightedEdge{sourceUserId=2159, targeUserId=2166, type=AA, peso=70.0}
2197-2209 CustomWeightedEdge{sourceUserId=2197, targeUserId=2209, type=AA, peso=19.0}
2162-2160 CustomWeightedEdge{sourceUserId=2162, targeUserId=2160, type=AA, peso=92.0}
2161-1940 CustomWeightedEdge{sourceUserId=2161, targeUserId=1940, type=AP, peso=55.0}
2272-2215 CustomWeightedEdge{sourceUserId=2272, targeUserId=2215, type=AA, peso=202.0}
2272-2214 CustomWeightedEdge{sourceUserId=2272, targeUserId=2214, type=AA, peso=198.0}
2162-2162 CustomWeightedEdge{sourceUserId=2162, targeUserId=2162, type=AA, peso=215.0}
2153-1981 CustomWeightedEdge{sourceUserId=2153, targeUserId=1981, type=AP, peso=593.0}
2134-2142 CustomWeightedEdge{sourceUserId=2134, targeUserId=2142, type=AA, peso=55.0}
2134-2140 CustomWeightedEdge{sourceUserId=2134, targeUserId=2140, type=AA, peso=61.0}
2272-2218 CustomWeightedEdge{sourceUserId=2272, targeUserId=2218, type=AA, peso=44.0}
2134-2141 CustomWeightedEdge{sourceUserId=2134, targeUserId=2141, type=AA, peso=144.0}
2134-2144 CustomWeightedEdge{sourceUserId=2134, targeUserId=2144, type=AA, peso=25.0}
2194-1982 CustomWeightedEdge{sourceUserId=2194, targeUserId=1982, type=AP, peso=118.0}
2169-2149 CustomWeightedEdge{sourceUserId=2169, targeUserId=2149, type=AA, peso=330.0}
2169-2143 CustomWeightedEdge{sourceUserId=2169, targeUserId=2143, type=AA, peso=104.0}
2165-2169 CustomWeightedEdge{sourceUserId=2165, targeUserId=2169, type=AA, peso=118.0}
2159-2158 CustomWeightedEdge{sourceUserId=2159, targeUserId=2158, type=AA, peso=26.0}
2159-2154 CustomWeightedEdge{sourceUserId=2159, targeUserId=2154, type=AA, peso=21.0}
2233-1940 CustomWeightedEdge{sourceUserId=2233, targeUserId=1940, type=AP, peso=90.0}
1931-2136 CustomWeightedEdge{sourceUserId=1931, targeUserId=2136, type=PA, peso=720.0}
2180-2160 CustomWeightedEdge{sourceUserId=2180, targeUserId=2160, type=AA, peso=188.0}
1931-2138 CustomWeightedEdge{sourceUserId=1931, targeUserId=2138, type=PA, peso=71.0}
2171-1940 CustomWeightedEdge{sourceUserId=2171, targeUserId=1940, type=AP, peso=61.0}
2157-2130 CustomWeightedEdge{sourceUserId=2157, targeUserId=2130, type=AA, peso=32.0}
2162-2151 CustomWeightedEdge{sourceUserId=2162, targeUserId=2151, type=AA, peso=47.0}
2150-2166 CustomWeightedEdge{sourceUserId=2150, targeUserId=2166, type=AA, peso=111.0}
1931-2130 CustomWeightedEdge{sourceUserId=1931, targeUserId=2130, type=PA, peso=532.0}
1976-2134 CustomWeightedEdge{sourceUserId=1976, targeUserId=2134, type=PA, peso=126.0}
2150-2169 CustomWeightedEdge{sourceUserId=2150, targeUserId=2169, type=AA, peso=101.0}
1931-2134 CustomWeightedEdge{sourceUserId=1931, targeUserId=2134, type=PA, peso=9.0}
1931-2133 CustomWeightedEdge{sourceUserId=1931, targeUserId=2133, type=PA, peso=91.0}
2219-2219 CustomWeightedEdge{sourceUserId=2219, targeUserId=2219, type=AA, peso=35.0}
2131-1980 CustomWeightedEdge{sourceUserId=2131, targeUserId=1980, type=AP, peso=80.0}
2160-2146 CustomWeightedEdge{sourceUserId=2160, targeUserId=2146, type=AA, peso=109.0}
2150-2162 CustomWeightedEdge{sourceUserId=2150, targeUserId=2162, type=AA, peso=98.0}
2219-2215 CustomWeightedEdge{sourceUserId=2219, targeUserId=2215, type=AA, peso=14.0}
2223-1940 CustomWeightedEdge{sourceUserId=2223, targeUserId=1940, type=AP, peso=726.0}
2168-1940 CustomWeightedEdge{sourceUserId=2168, targeUserId=1940, type=AP, peso=255.0}
2227-2252 CustomWeightedEdge{sourceUserId=2227, targeUserId=2252, type=AA, peso=95.0}
2180-2168 CustomWeightedEdge{sourceUserId=2180, targeUserId=2168, type=AA, peso=350.0}
2162-2156 CustomWeightedEdge{sourceUserId=2162, targeUserId=2156, type=AA, peso=249.0}
2227-2254 CustomWeightedEdge{sourceUserId=2227, targeUserId=2254, type=AA, peso=61.0}
2201-1982 CustomWeightedEdge{sourceUserId=2201, targeUserId=1982, type=AP, peso=346.0}
2159-2146 CustomWeightedEdge{sourceUserId=2159, targeUserId=2146, type=AA, peso=40.0}
2201-1983 CustomWeightedEdge{sourceUserId=2201, targeUserId=1983, type=AP, peso=21.0}
2167-2189 CustomWeightedEdge{sourceUserId=2167, targeUserId=2189, type=AA, peso=10.0}
2133-1981 CustomWeightedEdge{sourceUserId=2133, targeUserId=1981, type=AP, peso=103.0}
2133-1980 CustomWeightedEdge{sourceUserId=2133, targeUserId=1980, type=AP, peso=134.0}
2150-2178 CustomWeightedEdge{sourceUserId=2150, targeUserId=2178, type=AA, peso=133.0}
1931-2141 CustomWeightedEdge{sourceUserId=1931, targeUserId=2141, type=PA, peso=77.0}
1931-2140 CustomWeightedEdge{sourceUserId=1931, targeUserId=2140, type=PA, peso=25.0}
